Code,Name,2013,2014,2015,2016,2017,2018
1,Ha Noi,72823,79295,85772,90768,97956,102886
26,Vinh Phuc,16597,17190,17781,17284,18115,19005
27,Bac Ninh,33456,34097,34662,35174,35765,35988
22,Quang Ninh,33142,38266,44290,49639,53245,56963
30,Hai Duong,61124,61607,64859,67294,69659,72066
31,Hai Phong,50840,51703,46966,49433,61752,63689
33,Hung Yen,29653,30913,33815,36202,38633,40795
34,Thai Binh,114364,107609,118472,126160,137717,148002
35,Ha Nam,20793,21185,21778,21932,19071,21780
36,Nam Dinh,59289,66390,76973,83376,90029,97410
37,Ninh Binh,32720,33912,35547,37826,41010,44438
2,Ha Giang,1683,1729,1756,1802,1859,1914
4,Cao Bang,323,319,328,371,398,408
6,Bac Kan,860,876,890,906,1068,1118
8,Tuyen Quang,4886,5392,6051,6082,6442,7124
10,Lao Cai,4404,4688,5162,5987,6348,6765
15,Yen Bai,5711,5636,5639,5891,6592,8001
19,Thai Nguyen,7196,7620,8159,9291,10467,11806
20,Lang Son,1058,1104,1258,1298,1313,1338
24,Bac Giang,25989,28892,32413,35243,37914,40138
25,Phu Tho,24636,26145,27674,30237,31708,32963
11,Dien Bien,1556,1736,1969,2284,2558,2811
12,Lai Chau,1373,1471,1725,1822,1952,2016
14,Son La,5328,5480,5461,5648,6278,6464
17,Hoa Binh,3921,4155,4277,4684,4954,5312
38,Thanh Hoa,40145,45775,49237,51082,50102,53547
40,Nghe An,40719,45067,44675,47621,50253,52964
42,Ha Tinh,11949,12690,13301,12493,12986,14223
44,Quang Binh,10050,11216,11941,11601,11683,12462
45,Quang Tri,7875,8324,8464,8071,7353,8019
46,Thua Thien - Hue,13209,14910,15143,14012,14681,15947
48,Da Nang,745,788,807,806,836,993
49,Quang Nam,17300,18866,19500,20050,20707,21395
51,Quang Ngai,6307,5787,6032,6344,7443,7072
52,Binh Dinh,8793,9445,9732,9969,9446,10415
54,Phu Yen,10347,10627,9392,10048,11059,11775
56,Khanh Hoa,13751,14198,13719,13432,12578,9843
58,Ninh Thuan,12357,13191,10114,8158,9501,10286
60,Binh Thuan,13547,13462,12644,11739,13560,13890
62,Kon Tum,1570,1798,2060,2417,2719,3053
64,Gia Lai,3231,2935,3772,2972,3009,2973
66,Dak Lak,14268,14591,14876,14655,15742,16790
67,Dak Nong,2809,2897,3772,3798,4257,4742
68,Lam Dong,7278,7388,8963,8796,9584,10426
70,Binh Phuoc,4777,5327,5393,5304,5235,4952
72,Tay Ninh,12075,14729,15430,12586,10877,10621
74,Binh Duong,4197,3674,3733,3808,3887,3957
75,Dong Nai,42037,43793,45593,47769,50673,54319
77,Ba Ria - Vung Tau,13539,14218,15041,15737,16319,16854
79,TP. Ho Chi Minh,30431,36364,33908,38070,40615,41382
80,Long An,30416,31344,42253,45998,46427,49368
82,Tien Giang,136602,137957,144992,150024,160847,168682
83,Ben Tre,230641,243576,242483,250890,259841,271044
84,Tra Vinh,88361,95328,91899,103398,113889,119050
86,Vinh Long,122154,105083,105686,107716,110762,119443
87,Dong Thap,413988,461415,469015,474909,501247,522707
89,An Giang,293500,305738,313926,344731,371780,440200
91,Kien Giang,135011,170335,183480,196477,210142,222388
92,Can Tho,173862,173769,166326,160514,179581,202602
93,Hau Giang,59014,58246,57323,57760,59192,62185
94,Soc Trang,138479,148163,156042,167512,187185,190574
95,Bac Lieu,160436,178095,191584,194668,205779,220958
96,Ca Mau,276410,294282,306318,282043,308320,328515
