Name,year,labor_force,Code
Ha Noi,2010,3581.3,1
Vinh Phuc,2010,606.8,26
Bac Ninh,2010,612.1,27
Quang Ninh,2010,659.6,22
Hai Duong,2010,1048.1,30
Hai Phong,2010,1062.7,31
Hung Yen,2010,689.1,33
Thai Binh,2010,1109.3,34
Ha Nam,2010,476.7,35
Nam Dinh,2010,1070.1,36
Ninh Binh,2010,537.6,37
Ha Giang,2010,459.1,2
Cao Bang,2010,336.8,4
Bac Kan,2010,194,6
Tuyen Quang,2010,442.2,8
Lao Cai,2010,357.5,10
Yen Bai,2010,457,15
Thai Nguyen,2010,685.2,19
Lang Son,2010,466.5,20
Bac Giang,2010,978.2,24
Phu Tho,2010,844.3,25
Dien Bien,2010,276.4,11
Lai Chau,2010,228.5,12
Son La,2010,649,14
Hoa Binh,2010,506.6,17
Thanh Hoa,2010,2172.2,38
Nghe An,2010,1752.1,40
Ha Tinh,2010,674.3,42
Quang Binh,2010,479.4,44
Quang Tri,2010,323.9,45
Thua Thien - Hue,2010,580.1,46
Da Nang,2010,467,48
Quang Nam,2010,814,49
Quang Ngai,2010,714.7,51
Binh Dinh,2010,861.1,52
Phu Yen,2010,505.2,54
Khanh Hoa,2010,639.5,56
Ninh Thuan,2010,312.9,58
Binh Thuan,2010,647.8,60
Kon Tum,2010,244.7,62
Gia Lai,2010,742.8,64
Dak Lak,2010,968.8,66
Dak Nong,2010,293.4,67
Lam Dong,2010,682,68
Binh Phuoc,2010,523.6,70
Tay Ninh,2010,623.3,72
Binh Duong,2010,1014.6,74
Dong Nai,2010,1451.9,75
Ba Ria - Vung Tau,2010,531.1,77
TP. Ho Chi Minh,2010,3909.1,79
Long An,2010,854.4,80
Tien Giang,2010,1011.5,82
Ben Tre,2010,792.6,83
Tra Vinh,2010,584.1,84
Vinh Long,2010,612.9,86
Dong Thap,2010,988.6,87
An Giang,2010,1255,89
Kien Giang,2010,965.5,91
Can Tho,2010,680.7,92
Hau Giang,2010,456.2,93
Soc Trang,2010,762.3,94
Bac Lieu,2010,487.8,95
Ca Mau,2010,677.1,96
Ha Noi,2011,3572.9,1
Vinh Phuc,2011,608.3,26
Bac Ninh,2011,593.5,27
Quang Ninh,2011,675,22
Hai Duong,2011,1071,30
Hai Phong,2011,1075.3,31
Hung Yen,2011,707.1,33
Thai Binh,2011,1134.2,34
Ha Nam,2011,464,35
Nam Dinh,2011,1082.2,36
Ninh Binh,2011,553,37
Ha Giang,2011,467.7,2
Cao Bang,2011,341.2,4
Bac Kan,2011,199.6,6
Tuyen Quang,2011,450.3,8
Lao Cai,2011,377.8,10
Yen Bai,2011,478.5,15
