_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
0,300 MW Attapeu & Borikhamxay,Solar,Planned,250,2019,,,,,,, ,Laos,Vientiane [prefecture],Chanthabuly,,Mekong Mainstream - Lower,17.9999,102.626,"Actual location unknown, currently sited at locality in link/announcement", ,,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne, ,,0101000020E6100000F2D24D6210A85940F29881CAF8FF3140
1,300 MW Attapeu & Borikhamxay,Solar,Planned,50,2019,,USA,Convalt Energy LLC (USA),,,, ,Laos,Attapu,Samakkhixay,,Sekong,14.8183,106.824,"Actual location unknown, currently sited at locality in link/announcement", ,,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne, ,,0101000020E6100000789CA223B9B45A40C2FA3F87F9A22D40
2,A Luoi,Hydro,Operational,170,2012,,Vietnam,Central Region Hydropower JSC,,,Vietnam,VINAINCON,Vietnam,Thừa Thiên Huế,A Lưới,,Sekong,16.1976,107.162, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.mendeley.com/datasets/ht9k5p3vdb/1,https://wle-mekong.cgiar.org/construction-of-nam-chien-Hydropower-project-begins/,03:31:20,0101000020E61000003C4ED1915CCA5A4018096D3997323040
3,A Vuong,Hydro,Operational,210,2008,,Vietnam,A Vuong Hydro Power JSC,,,Japan; Vietnam,"Sumitomo, Licogi",Vietnam,Quảng Nam,Đông Giang,,Song Giang,15.7998,107.617, , ,,Wikipedia,https://www.licogi166.vn/en/cong-trinh-thuy-dien-a-vuong-a62.html; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E61000002497FF907EE75A407DAEB6627F992F40
4,A.T. Biopower Rice Husk Power Project,Biomass,Operational,22.5,2004,,Thailand,A.T. Biopower,,,, ,Thailand,Phichit,Bang Mun Nak,,Nan,16.0713,100.396, , ,,UNFCCC,Rice husk,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174909241.2/view,,0101000020E61000009A081B9E5E195940982F2FC03E123040
5,Active Synergy Landfill Gas Power Generation Project,Waste,Unknown,1.04,,,Thailand,"Active Synergy Co., Ltd.",,,United Kingdom,EDF Trading Ltd (EDFT),Thailand,Nakhon Pathom,Kamphaeng Saen,,Tha Chin,14.0678,99.9693, , ,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1271901107.75/view,,0101000020E61000000742B28009FE58408907944DB9222C40
6,Advanced Wastewater Management at Rajburi Ethanol Plant,Waste,Unknown,,,,Thailand,Rajburi Ethanol Co.,,,Sweden,Carbon Asset Management Sweden AB,Thailand,Ratchaburi,Ban Pong,,Nam Mae Khlong Mainstem,13.8376,99.8587, , ,,UNFCCC,Biogas from wastewater from ethanol,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1337330382.67/view,,0101000020E6100000F41ABB44F5F65840064CE0D6DDAC2B40
7,Agricultural cooperative solar project,Solar,Under Construction,5,2018,,China,ReneSola Ltd (China),,,China,ReneSola Ltd (China),Thailand,Rayong,Muang Rayong,,Coastal Rivers Rayong Chon Buri,12.7006,101.133,"Actual location unknown, currently sited at locality in link/announcement", ,,Renewables Now,https://www.prnewswire.com/news-releases/renesola-awarded-5mw-of-solar-projects-in-thailand-300483314.html,https://renewablesnow.com/news/renesola-wins-5-mw-of-agricultural-pv-projects-in-thailand-575003/;,,0101000020E61000008D976E12834859402DCF83BBB3662940
8,Ahlone,Gas,Operational,153,1995,,Myanmar,MEPE (Myanmar),,,, ,Myanmar,Yangon,Yangon-E,,Irrawaddy Mainstem and Delta,16.7806,96.1121, , ,,Myanmar Institute for Peace and Security,https://www.industryabout.com/country-territories-3/1986-myanmar/fossil-fuels-energy/30614-ahlone-gas-power-plant, ,,0101000020E6100000904E5DF92C075840AB9509BFD4C73040
9,Ahlone,Gas,Planned,388,,,Thailand; Japan; Myanmar,"TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W,,Irrawaddy Mainstem and Delta,16.7786,96.1307,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.vdb-loi.com/wp-content/uploads/2018/01/Myanmar-Somewhat-Unexpectedly-Signs-4-Major-LNGGas-to-Power-Projects.pdf; https://www.ccifrance-myanmar.org/en/news/ceremony-held-for-lng-projects; https://frontiermyanmar.net/en/thai-firm-sees-progress-o, ,,0101000020E61000004EB9C2BB5C08584048F949B54FC73040
