id,sub_name,maj_name,to_bas,sub_bas,maj_bas,sub_area,maj_area,legend,ecoregion
1,Weiyuan Jiang,Mekong,18010,18007,5018,54525,803303,18,Upper Lancang
2,Qingshuilang Shah,Mekong,18007,18005,5018,41257,803303,18,Upper Lancang (3 rivers area)
3,Za Qu,Mekong,18004,18001,5018,19102,803303,18,Tibetan Plateau
4,Ngom Qu,Mekong,18005,18003,5018,16892,803303,18,Tibetan Plateau
5,Nam Mae Kok,Mekong,18015,18014,5018,10602,803303,18,Lancang Basin
6,Nam Pho / Nam Ngaou,Mekong,18013,18010,5018,10903,803303,18,Lancang Basin
7,Nam Nhiep / Nam Sane,Mekong,18024,18020,5018,11455,803303,18,Lancang Basin
8,Nam Loi,Mekong,18010,18008,5018,15142,803303,18,Lancang Basin
9,Nam Beng / Nam Ngeun,Mekong,18017,18016,5018,9229,803303,18,Lancang Basin
10,Nam Mae Ing,Mekong,18016,18015,5018,11099,803303,18,Lancang Basin
11,Huai Luang / Nam Phoung / Nam,Mekong,18020,18017,5018,30886,803303,18,Lancang Basin
12,Huai Tomo / Tonle Repon,Mekong,18037,18034,5018,12023,803303,18,Kratie-Stung Treng
13,Se Kong,Mekong,18036,18033,5018,28689,803303,18,Kratie-Stung Treng
14,Se Bang Nouan,Mekong,18034,18031,5018,4902,803303,18,Khorat Plateau
15,Nam Cadinh,Mekong,18024,18025,5018,14760,803303,18,Khorat Plateau
16,Nam Chi,Mekong,18029,18028,5018,49235,803303,18,Khorat Plateau
17,Nam Kam / Nam Hinboun / Huai,Mekong,18031,18027,5018,16555,803303,18,Khorat Plateau
18,Songkhram,Mekong,18027,18023,5018,12944,803303,18,Khorat Plateau
19,Lagna Da Rgna,"Viet Nam, Coast",17027,17028,5017,4093,186187,17,Tonle Sap / Mekong Delta
20,Song Be Delta,"Viet Nam, Coast",17031,17029,5017,1805,186187,17,Tonle Sap / Mekong Delta
21,Siem Bok,Mekong,18042,18037,5018,26450,803303,18,Tonle Sap / Mekong Delta
22,Upper Tonle Sap,Mekong,18041,18039,5018,47242,803303,18,Tonle Sap / Mekong Delta
23,Dong Nai,"Viet Nam, Coast",17029,17027,5017,901,186187,17,Tonle Sap / Mekong Delta
24,St. Sen,Mekong,18040,18038,5018,14454,803303,18,Tonle Sap / Mekong Delta
25,Saigon,"Viet Nam, Coast",-999,17031,5017,21430,186187,17,Tonle Sap / Mekong Delta
